,job,company,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate
0,청원 경찰,심문,140416-2233170,세종특별자치시 동대문구 선릉575가,"(Decimal('19.1916095'), Decimal('-39.935879'))",AB+,['http://www.gimgimi.kr/'],minsu64,김경수,M,세종특별자치시 성북구 가락695로,migyeongsong@live.com,1914-05-11
1,Aeronautical engineer,Williams-Thornton,546-55-3697,"2319 Brown Mountains Apt. 272
Kathleenmouth, CT 27534","(Decimal('-80.533431'), Decimal('-36.805920'))",O-,"['https://murray-fitzpatrick.org/', 'https://www.anderson-lopez.info/', 'https://ayers.info/']",ocollins,Karen Morales,F,"6137 Payne Meadows
East Jessicabury, DC 59526",wattskathryn@hotmail.com,1917-08-21
2,"Horticulturist, commercial","Barnett, Hicks and Wood",540-89-6847,"79725 Michael Ranch Apt. 425
Tuckerport, MT 73271","(Decimal('-41.192302'), Decimal('5.256728'))",O+,['https://walton-dyer.info/'],david55,Christopher Bell,M,"7720 Tyler Forge
Vasquezberg, IA 75053",igalloway@yahoo.com,1971-12-17
3,판사 및 검사,(주) 남박김,970406-2702228,제주특별자치도 제천시 가락058가,"(Decimal('63.669665'), Decimal('24.835302'))",O+,['https://ijo.net/'],ujunyeong,이선영,F,서울특별시 노원구 영동대627가,ji@naver.com,1915-09-02
4,Recruitment consultant,"Boyer, Dudley and Martin",153-96-7787,"8465 Adrian Shore
Penachester, IN 88840","(Decimal('62.7752435'), Decimal('35.814368'))",B+,"['https://www.bailey.com/', 'http://brown.info/', 'http://hull-espinoza.net/', 'https://www.alvarez.biz/']",jeremyhall,Ashley Jackson,F,"970 Hamilton Squares
Gregoryfort, GA 40910",hvega@yahoo.com,1970-11-09
5,유리제조 및 가공기 조작원,(유) 최,380315-2592349,부산광역시 동구 영동대로 (종수김면),"(Decimal('23.555403'), Decimal('90.513139'))",B-,['http://ibag.com/'],johaeun,김지현,F,광주광역시 영등포구 서초대73거리 (승민최김마을),gangmijeong@dreamwiz.com,2002-12-01
6,Health visitor,Robertson Group,434-72-7319,"5591 Cooke Plaza
East Catherine, IA 09707","(Decimal('-87.141344'), Decimal('153.185658'))",B+,"['https://www.cox-rogers.com/', 'https://brown.net/']",samanthamccarthy,Robert Winters,M,"54328 Danny Drives Suite 483
North Randall, HI 07773",christine27@yahoo.com,1935-07-16
7,Professor Emeritus,मजूमदार PLC,389-57-6686,"12/961 लीला नाम
बहादुरगढ-243744","(Decimal('-5.431308'), Decimal('-119.385550'))",O+,"['https://laal.com/', 'https://www.kunnddaa.com/', 'http://baaptt.net/']",kiaan28,"कृष्णा, अमर",M,"39/8142 मायरा सेनाधीश
चित्रकूट-433015",ddhiingraartn@yahoo.com,1949-11-27
8,Museum/gallery conservator,Johnson LLC,160-89-9631,"334 James Mews Apt. 592
East Jennifer, FL 14155","(Decimal('-25.165029'), Decimal('-94.761025'))",AB+,"['https://www.trevino.org/', 'https://www.miller.com/', 'http://nelson.net/', 'https://parker.com/']",nunezjamie,Christopher Welch,M,"430 Gibson Ranch Apt. 193
Dillonmouth, IL 54370",mark16@gmail.com,1960-12-07
9,Lexicographer,Johnson Ltd,558-95-4789,"461 Maria Mission Suite 231
Perkinston, NC 30844","(Decimal('-11.951884'), Decimal('169.380004'))",O-,"['http://www.knight.com/', 'https://www.buchanan.com/']",tweaver,Jocelyn Watson,F,"USCGC Thompson
FPO AA 79804",phillipsallen@hotmail.com,1906-06-19
